,NIP,Cl_P1
1447,N201506078,1
1448,N201506106,3
1449,N201506137,1
1450,N201506157,1
1451,N201506166,1
1452,N201506186,1
1453,N201506242,1
1454,N201506285,1
1455,N201506286,1
1456,N201506292,1
1457,N201506324,1
1458,N201506329,1
1459,N201506332,0
1460,N201506344,1
1461,N201506364,1
1462,N201506402,1
1463,N201506461,1
1464,N201506481,3
1465,N201506622,1
1466,N201506720,3
1467,N201506731,1
1468,N201506765,1
1469,N201506766,1
1470,N201506784,3
1471,N201506798,3
1472,N201506807,1
1473,N201506818,2
1474,N201506846,1
1475,N201506849,3
1476,N201506850,1
1477,N201506880,1
1478,N201506900,3
1479,N201506905,1
1480,N201507002,1
1481,N201507075,1
1482,N201507082,1
1483,N201507112,1
1484,N201507126,1
1485,N201507127,3
1486,N201507139,1
1487,N201507147,1
1488,N201507158,1
1489,N201507175,1
1490,N201507198,1
