,NIP,Cl_P
1174,N201900027,3
1175,N201900028,0
1176,N201900029,1
1177,N201900030,0
1178,N201900032,0
1179,N201900033,0
1180,N201900034,0
1181,N201900036,2
1182,N201900037,0
1183,N201900038,2
1184,N201900039,0
1185,N201900040,3
1186,N201900041,2
1187,N201900042,2
1188,N201900043,2
1189,N201900044,2
1190,N201900045,2
1191,N201900046,2
1192,N201900047,2
1193,N201900049,2
1194,N201900053,0
1195,N201900054,0
1196,N201900055,2
1197,N201900056,0
1198,N201900057,0
1199,N201900058,0
1200,N201900413,3
